titre;localisation;prix;chambres;douches;surface;Secteur;etage;URL
2 appartements 51m² et 48m² à vendre à Salé;Salé;870000.0;2.0;1.0;51.0;Abouab Sala;2.0;https://www.avito.ma/fr/abouab_sala/appartements/2_appartements_51m%C2%B2_et_48m%C2%B2_%C3%A0_vendre_%C3%A0_Sal%C3%A9_54444930.htm
CMN-MA-1755 - Appartement à vendre à Racine;Casablanca;1400000.0;1.0;1.0;58.0;Racine;2.0;https://www.avito.ma/fr/racine/appartements/CMN_MA_1755___Appartement_%C3%A0_vendre_%C3%A0_Racine_55650826.htm
Magnifique appartement de 114m² à Belvédère;Casablanca;1500000.0;3.0;2.0;108.0;Belvédère;3.0;https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/Magnifique_appartement_de_114m%C2%B2_%C3%A0_Belv%C3%A9d%C3%A8re_55745828.htm
appartement a vendre;Skhirat;210000.0;2.0;1.0;64.0;Autre secteur;3.0;https://www.avito.ma/fr/autre_secteur/appartements/appartement_a_vendre__55695532.htm
Appartement à vendre 140 m² à Martil;Martil;750000.0;2.0;1.0;140.0;Toute la ville;3.0;https://www.avito.ma/fr/martil/appartements/Appartement_%C3%A0_vendre_140_m%C2%B2_%C3%A0_Martil_55733273.htm
petite appartement près de marjan derbsoultan;Casablanca;540000.0;1.0;1.0;52.0;Al Fida;2.0;https://www.avito.ma/fr/al_fida/appartements/petite_appartement_pr%C3%A8s_de_marjan_derbsoultan__55711161.htm
Appartement à moyen standing Noor City;Casablanca;870000.0;2.0;1.0;63.0;Sidi Moumen;3.0;https://www.avito.ma/fr/sidi_moumen/appartements/Appartement_%C3%A0_moyen_standing_Noor_City_55680674.htm
Appartement à vendre 91 m² à CFC Casablanca;Casablanca;870000.0;2.0;2.0;91.0;Casablanca Finance City;1.0;https://www.avito.ma/fr/casablanca_finance_city/appartements/Appartement_%C3%A0_vendre_91_m%C2%B2_%C3%A0_CFC_Casablanca_55617101.htm
appartement;Fès;330000.0;2.0;1.0;63.0;Autre secteur;3.0;https://www.avito.ma/fr/autre_secteur/appartements/appartement__55745796.htm
Appartement à vendre meublé 80 m² à Casablanca;Casablanca;1300000.0;2.0;1.0;80.0;Bourgogne;5.0;https://www.avito.ma/fr/bourgogne/appartements/Appartement_%C3%A0_vendre_meubl%C3%A9_80_m%C2%B2_%C3%A0_Casablanca_55745794.htm
Appartement à vendre 100 m² à Taza;Taza;870000.0;2.0;1.0;100.0;Toute la ville;3.0;https://www.avito.ma/fr/taza/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Taza_55678132.htm
appartement a vendre sidi bernoussi azhar;Casablanca;360000.0;2.0;1.0;62.0;Sidi Bernoussi;1.0;https://www.avito.ma/fr/sidi_bernoussi/appartements/appartement_a_vendre_sidi_bernoussi__azhar__55745790.htm
Appartement lumineux à vendre à la palmeraie;Marrakech;1800000.0;2.0;1.0;82.0;Palmeraie;1.0;https://www.avito.ma/fr/palmeraie/appartements/Appartement_lumineux_%C3%A0_vendre_%C3%A0_la_palmeraie__55741876.htm
Appartement à vendre 120 m² à Ola blanca 1;Sidi Rahal;1450000.0;2.0;2.0;120.0;Toute la ville;2.0;https://www.avito.ma/fr/sidi_rahal/appartements/Appartement_%C3%A0_vendre_120_m%C2%B2_%C3%A0_Ola_blanca_1_55745783.htm
CMN-SI-1650 - Appartement à vendre à Bourgogne Est;Casablanca;1250000.0;2.0;1.0;74.0;Bourgogne;6.0;https://www.avito.ma/fr/bourgogne/appartements/CMN_SI_1650___Appartement_%C3%A0_vendre_%C3%A0_Bourgogne_Est_55653633.htm
Appartement Moderne à Maarif Parfait pour Familles;Casablanca;1800000.0;3.0;2.0;146.0;Maarif;2.0;https://www.avito.ma/fr/maarif/appartements/Appartement_Moderne_%C3%A0_Maarif_Parfait_pour_Familles_55356106.htm
appartement à vendre;Marrakech;400000.0;2.0;1.0;54.0;Akioud;1.0;https://www.avito.ma/fr/akioud/appartements/appartement_%C3%A0_vendre__55745763.htm
Appartement à vendre 100 m² à Taza;Taza;870000.0;2.0;2.0;100.0;Toute la ville;4.0;https://www.avito.ma/fr/taza/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Taza_55678101.htm
pas de porte d' un appartement meublé Tanger;Tanger;1200.0;1.0;1.0;45.0;Californie;2.0;https://www.avito.ma/fr/californie/appartements/pas_de_porte_d__un_appartement_meubl%C3%A9_Tanger__55745724.htm
Appartement à vendre 130 m² à Rabat;Rabat;2200000.0;3.0;3.0;130.0;Hay Al Farah;1.0;https://www.avito.ma/fr/hay_al_farah/appartements/Appartement_%C3%A0_vendre_130_m%C2%B2_%C3%A0_Rabat_49854899.htm
Appartement 80 m² à Agadir;Agadir;640000.0;3.0;2.0;80.0;Abattoirs;3.0;https://www.avito.ma/fr/abattoirs/appartements/Appartement_80_m%C2%B2_%C3%A0_Agadir_54259104.htm
Vente Appartement 48 m² non meublée ville de M’diq;Mdiq;400000.0;2.0;1.0;48.0;Toute la ville;1.0;https://www.avito.ma/fr/mdiq/appartements/Vente_Appartement_48_m%C2%B2_non_meubl%C3%A9e_ville_de_M_diq_55745709.htm
Appartement 97 m² à Mohammedia;Mohammedia;890000.0;2.0;2.0;97.0;Wafa;3.0;https://www.avito.ma/fr/wafa/appartements/Appartement_97_m%C2%B2_%C3%A0_Mohammedia_55726657.htm
Joli appartement 2 chambres à vendre;Marrakech;480000.0;2.0;1.0;66.0;Hay Charaf;1.0;https://www.avito.ma/fr/hay_charaf/appartements/Joli_appartement_2_chambres_%C3%A0_vendre__55675195.htm
Appartement à vendre 115 m² à Rabat;Rabat;1402500.0;5.0;2.0;115.0;Aakkari;1.0;https://www.avito.ma/fr/aakkari/appartements/Appartement_%C3%A0_vendre_115_m%C2%B2_%C3%A0_Rabat_55745312.htm
Appartement à vendre 56 m² à Marrakech;Marrakech;300000.0;2.0;1.0;56.0;M'Hamid;4.0;https://www.avito.ma/fr/m'hamid/appartements/Appartement_%C3%A0_vendre_56_m%C2%B2_%C3%A0_Marrakech_55715127.htm
Appartement 127m² Gauthier;Casablanca;2220000.0;3.0;2.0;127.0;Gauthier;5.0;https://www.avito.ma/fr/gauthier/appartements/Appartement_127m%C2%B2_Gauthier__48156341.htm
spacieux appartement moulay driss 1;Casablanca;1350000.0;2.0;1.0;140.0;2 Mars;3.0;https://www.avito.ma/fr/2_mars/appartements/spacieux_appartement__moulay_driss_1_54352231.htm
magnifique appartement à vendre;Casablanca;830000.0;2.0;2.0;72.0;Ain Sebaa;1.0;https://www.avito.ma/fr/ain_sebaa/appartements/magnifique_appartement_%C3%A0_vendre__55561709.htm
magnifique appartement à vendre;Casablanca;830000.0;2.0;2.0;72.0;Ain Sebaa;1.0;https://www.avito.ma/fr/ain_sebaa/appartements/magnifique_appartement_%C3%A0_vendre__55561709.htm
Appartement duplex 128 m² à Meknès;Meknès;870000.0;3.0;2.0;128.0;Ville Nouvelle;3.0;https://www.avito.ma/fr/ville_nouvelle/appartements/Appartement_duplex_128_m%C2%B2_%C3%A0_Mekn%C3%A8s_55343333.htm
Vente Appartement façade à Maghreb Arabi KENITRA;Kénitra;595000.0;2.0;1.0;75.0;Al Maghrib Al Arabi;3.0;https://www.avito.ma/fr/al_maghrib_al_arabi/appartements/Vente_Appartement_fa%C3%A7ade_%C3%A0_Maghreb_Arabi_KENITRA__55644295.htm
CMN-AN-1638 - Appartement à vendre à Bourgogne;Casablanca;1300000.0;2.0;1.0;94.0;Bourgogne;3.0;https://www.avito.ma/fr/bourgogne/appartements/CMN_AN_1638___Appartement_%C3%A0_vendre_%C3%A0_Bourgogne_55392350.htm
appartement à vendre salé Tabriquet;Salé;7400000.0;2.0;2.0;82.0;Tabriquet;4.0;https://www.avito.ma/fr/tabriquet/appartements/appartement_%C3%A0_vendre_sal%C3%A9_Tabriquet__55682638.htm
Bel Appartement à Bouznika;Bouznika;420000.0;2.0;2.0;60.0;Autre secteur;2.0;https://www.avito.ma/fr/autre_secteur/appartements/Bel_Appartement_%C3%A0_Bouznika_55653535.htm
CMN-AC-1599 - Appartement à vendre à Californie;Casablanca;1250000.0;2.0;2.0;88.0;Californie;1.0;https://www.avito.ma/fr/californie/appartements/CMN_AC_1599___Appartement_%C3%A0_vendre_%C3%A0_Californie_55180275.htm
appartement bien à vendre;Agadir;600000.0;2.0;1.0;64.0;Tassila;3.0;https://www.avito.ma/fr/tassila/appartements/appartement_bien_%C3%A0_vendre__55737584.htm
Des Appartement 113 m² centre hmria الدعم متوفر;Meknès;790000.0;3.0;2.0;113.0;Hamria;1.0;https://www.avito.ma/fr/hamria/appartements/Des_Appartement__113_m%C2%B2_centre_hmria_%D8%A7%D9%84%D8%AF%D8%B9%D9%85_%D9%85%D8%AA%D9%88%D9%81%D8%B1_55741823.htm
Souissi, Rabat Square Eagle Hills Appart à Vendre;Rabat;3220000.0;2.0;3.0;124.0;Souissi;4.0;https://www.avito.ma/fr/souissi/appartements/Souissi__Rabat_Square_Eagle_Hills_Appart_%C3%A0_Vendre_55698916.htm
Appartement à vendre 80 m² à Agadir;Agadir;640000.0;3.0;2.0;80.0;Abattoirs;1.0;https://www.avito.ma/fr/abattoirs/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_Agadir_53634704.htm
appartement;Tétouan;870000.0;2.0;2.0;60.0;Autre secteur;2.0;https://www.avito.ma/fr/autre_secteur/appartements/appartement__55745641.htm
Appartement 123m Sans Vis à vis A France Ville;Casablanca;1780000.0;3.0;2.0;123.0;Franceville;4.0;https://www.avito.ma/fr/franceville/appartements/Appartement_123m_Sans_Vis_%C3%A0_vis_A_France_Ville_55465967.htm
Appartement à vendre 89 m² à Dar Bouazza;Dar Bouazza;8000.0;2.0;2.0;89.0;Toute la ville;2.0;https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_%C3%A0_vendre_89_m%C2%B2_%C3%A0_Dar_Bouazza_55745632.htm
bel apparemment à assafa;Casablanca;870000.0;3.0;2.0;96.0;Californie;2.0;https://www.avito.ma/fr/californie/appartements/bel_apparemment_%C3%A0_assafa_55745628.htm
appartement Avendre;Meknès;870000.0;2.0;1.0;74.0;Autre secteur;2.0;https://www.avito.ma/fr/autre_secteur/appartements/appartement_Avendre__55745622.htm
Appartement de standing bd ibnou tachfine;Urgent;950000.0;2.0;1.0;101.0;Aïn Borja;2.0;https://www.avito.ma/fr/a%C3%AFn_borja/appartements/Appartement_de_standing_bd_ibnou_tachfine_54727876.htm
Appartement 67 m² à Tanger;Tanger;870000.0;1.0;2.0;67.0;manar;2.0;https://www.avito.ma/fr/manar/appartements/Appartement_67_m%C2%B2_%C3%A0_Tanger_53961997.htm
Appartement à vendre 144 m² à Tanger;Tanger;11000.0;3.0;2.0;144.0;Autre secteur;3.0;https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_144_m%C2%B2_%C3%A0_Tanger_55403393.htm
Appartement à vendre 185 m² à Tanger;Tanger;870000.0;3.0;3.0;183.0;Centre ville;1.0;https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_185_m%C2%B2_%C3%A0_Tanger_53725203.htm
Appartement à vendre roches noires à Casablanca;Casablanca;1044000.0;3.0;2.0;81.0;Roches Noires;2.0;https://www.avito.ma/fr/roches_noires/appartements/Appartement_%C3%A0_vendre_roches_noires_%C3%A0_Casablanca_55723042.htm
Appartement terrasse 210m² Belvédère;Casablanca;1550000.0;4.0;2.0;210.0;Belvédère;2.0;https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/Appartement_terrasse_210m%C2%B2_Belv%C3%A9d%C3%A8re__54065530.htm
NEW-RESBADR2 - Appartement à vendre à Hay Chrifa;Casablanca;1310000.0;3.0;2.0;93.0;Hay Chrifa;1.0;https://www.avito.ma/fr/hay_chrifa/appartements/NEW_RESBADR2___Appartement_%C3%A0_vendre_%C3%A0_Hay_Chrifa_55605735.htm
lux appartement à Bourgogne;Casablanca;1380000.0;3.0;2.0;116.0;Bourgogne;1.0;https://www.avito.ma/fr/bourgogne/appartements/lux_appartement_%C3%A0_Bourgogne__53572705.htm
Appartement à vendre 109 m² à oulfa/lissasfa;Casablanca;945000.0;3.0;2.0;109.0;Oulfa;3.0;https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_109_m%C2%B2_%C3%A0_oulfa_lissasfa_55649716.htm
Appartement à Vendre – Quartier Al Azhar;Casablanca;770000.0;2.0;1.0;60.0;Sidi Bernoussi;2.0;https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_%C3%A0_Vendre___Quartier_Al_Azhar_55745582.htm
CMN-MA-1342 - Appartement à vendre à Bachkou;Casablanca;1390000.0;2.0;1.0;105.0;Bachkou;5.0;https://www.avito.ma/fr/bachkou/appartements/CMN_MA_1342___Appartement_%C3%A0_vendre_%C3%A0_Bachkou_54603815.htm
CMN-MA-1698 - Appartement à vendre à 2 Mars;Casablanca;1440000.0;2.0;2.0;80.0;2 Mars;3.0;https://www.avito.ma/fr/2_mars/appartements/CMN_MA_1698___Appartement_%C3%A0_vendre_%C3%A0_2_Mars_55549534.htm
CMN-ME-1153 - Appartement à vendre à La Gironde;Casablanca;980000.0;2.0;1.0;94.0;La Gironde;4.0;https://www.avito.ma/fr/la_gironde/appartements/CMN_ME_1153___Appartement_%C3%A0_vendre_%C3%A0_La_Gironde_54562088.htm
CMN-ME-1284 - Appartement à vendre à La Gironde;Casablanca;880000.0;2.0;2.0;75.0;La Gironde;3.0;https://www.avito.ma/fr/la_gironde/appartements/CMN_ME_1284___Appartement_%C3%A0_vendre_%C3%A0_La_Gironde_54561889.htm
Appartement à vendre 110 m² à Rabat;Rabat;1600000.0;3.0;2.0;110.0;Diour Jamaa;2.0;https://www.avito.ma/fr/diour_jamaa/appartements/Appartement_%C3%A0_vendre_110_m%C2%B2_%C3%A0_Rabat_55699144.htm
Appartement à vendre 55 m² à Casablanca;Casablanca;390000.0;2.0;1.0;55.0;Sidi Moumen;1.0;https://www.avito.ma/fr/sidi_moumen/appartements/Appartement_%C3%A0_vendre_55_m%C2%B2_%C3%A0_Casablanca_55745567.htm
RAK-GU-1126 - Appartement à vendre à Izdihar;Marrakech;690000.0;2.0;1.0;68.0;Hay Izdihar;3.0;https://www.avito.ma/fr/hay_izdihar/appartements/RAK_GU_1126___Appartement_%C3%A0_vendre_%C3%A0_Izdihar_55656281.htm
appartement a vendre résidence safa;Casablanca;600000.0;2.0;1.0;62.0;Aïn Chock;2.0;https://www.avito.ma/fr/a%C3%AFn_chock/appartements/appartement_a_vendre_r%C3%A9sidence_safa__55745530.htm
Appartement à vendre;Casablanca;950000.0;2.0;1.0;87.0;Ain Sebaa;2.0;https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre__55745528.htm
appartement a vendre résidence safa;Casablanca;600000.0;2.0;1.0;62.0;Aïn Chock;2.0;https://www.avito.ma/fr/a%C3%AFn_chock/appartements/appartement_a_vendre_r%C3%A9sidence_safa__55745530.htm
Appartement à vendre;Casablanca;950000.0;2.0;1.0;87.0;Ain Sebaa;2.0;https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre__55745528.htm
Appartement à vendre 84 m² à Ifrane;Ifrane;870000.0;2.0;2.0;84.0;Autre secteur;2.0;https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_84_m%C2%B2_%C3%A0_Ifrane_55745527.htm
Appartement à vendre 70 m² à Casablanca;Casablanca;630000.0;2.0;2.0;70.0;Al Fida;1.0;https://www.avito.ma/fr/al_fida/appartements/Appartement_%C3%A0_vendre_70_m%C2%B2_%C3%A0_Casablanca_55745525.htm
Appartement 59M2 2chambres sans vis à vis CIL;Casablanca;820000.0;2.0;1.0;59.0;C.I.L;3.0;https://www.avito.ma/fr/c.i.l/appartements/Appartement_59M2_2chambres_sans_vis_%C3%A0_vis_CIL_55629461.htm
TEM-TE-1005 - Appartement à vendre à Centre ville;Skhirat;1400000.0;3.0;1.0;121.0;Autre secteur;3.0;https://www.avito.ma/fr/autre_secteur/appartements/TEM_TE_1005___Appartement_%C3%A0_vendre_%C3%A0_Centre_ville_55607541.htm
lux apt deux façade lagironde;Casablanca;1000000.0;2.0;2.0;84.0;La Gironde;2.0;https://www.avito.ma/fr/la_gironde/appartements/lux_apt_deux_fa%C3%A7ade_lagironde__55714548.htm
appartement sfliya babha bouhdou fih da3m 7mlyon;Had Soualem;540000.0;3.0;2.0;90.0;Toute la ville;2.0;https://www.avito.ma/fr/had_soualem/appartements/appartement_sfliya_babha_bouhdou__fih_da3m_7mlyon__53413437.htm
Appartement à vendre 80 m² à Agadir;Agadir;800000.0;2.0;2.0;80.0;El Houda;2.0;https://www.avito.ma/fr/el_houda/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_Agadir_51967228.htm
Bel appartement de 126m plein sud à ain sebaa;Casablanca;1280000.0;3.0;2.0;126.0;Ain Sebaa;2.0;https://www.avito.ma/fr/ain_sebaa/appartements/Bel_appartement_de_126m_plein_sud_%C3%A0_ain_sebaa__50155572.htm
Appartement à vendre 90m² à Casablanca;Casablanca;870000.0;2.0;2.0;90.0;Aïn Borja;4.0;https://www.avito.ma/fr/a%C3%AFn_borja/appartements/Appartement_%C3%A0_vendre_90m%C2%B2_%C3%A0_Casablanca_55726518.htm
appartement;Casablanca;870000.0;2.0;1.0;71.0;Sidi Bernoussi;1.0;https://www.avito.ma/fr/sidi_bernoussi/appartements/appartement__55745497.htm
Appartement a vendre Maarif;Casablanca;2328000.0;3.0;1.0;97.0;Maarif;4.0;https://www.avito.ma/fr/maarif/appartements/Appartement_a_vendre_Maarif_55745491.htm
Appartement à vendre 100 m² à Dar Bouazza;Dar Bouazza;870000.0;3.0;2.0;100.0;Toute la ville;1.0;https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Dar_Bouazza_54833290.htm
Resdnce avec mer et picine;Asilah;870000.0;2.0;2.0;100.0;Toute la ville;2.0;https://www.avito.ma/fr/asilah/appartements/Resdnce_avec_mer_et_picine__55234259.htm
bel appart 92m2 sur wafa;Mohammedia;720000.0;2.0;2.0;92.0;Centre Ville;3.0;https://www.avito.ma/fr/centre_ville/appartements/_bel_appart_92m2_sur_wafa__55602843.htm
